epsilon,accuracy,ssim
0.001,83.0,0.9999671413933495
0.0025,56.0,0.9997946769103828
0.005,33.0,0.9991793511797178
0.0075,24.0,0.998155899404311
0.01,21.0,0.9967275006185424
0.05,15.0,0.9256902986219403
0.1,20.0,0.7666601988197586
0.5,10.0,0.16113181744784755
1,8.0,0.05212537684783895
