epsilon,accuracy
0.0005,98.66666666666667
0.001,97.66666666666667
0.005,97.66666666666667
0.01,99.33333333333333
0.02,99.66666666666667
0.05,98.33333333333333
0.1,99.0
0.3,98.33333333333333
0.5,99.0
0.7,97.33333333333333
1.0,99.0
