epsilon,accuracy,ssim
0.0002,0.56,0.999998577243233
0.0002,0.56000006,0.9999985919941808
0.0002,0.6,0.9999985905641191
0.0002,0.63,0.9999986057391235
0.0002,0.65,0.9999985754374853
0.0004,0.6,0.9999944564971459
0.0004,0.6,0.9999943958382437
0.0004,0.51,0.9999945213212555
0.0004,0.58,0.9999945799590604
0.0004,0.59999996,0.9999944980034249
0.0008,0.53000003,0.9999802037858924
0.0008,0.51,0.9999789609767209
0.0008,0.52000004,0.9999796211772278
0.0008,0.53,0.9999793260155674
0.0008,0.53,0.9999784219257931
0.0016,0.49,0.9999281640897669
0.0016,0.41,0.9999171018028582
0.0016,0.45,0.9999256035907456
0.0016,0.42999998,0.9999225375035147
0.0016,0.50000006,0.9999209719446472
0.0032,0.31,0.9997651289941144
0.0032,0.42,0.9997528926973492
0.0032,0.35,0.9997628309703137
0.0032,0.31,0.9998013103925961
0.0032,0.45999998,0.9997637692452177
0.0064,0.25,0.9993399902093769
0.0064,0.31,0.9994058756796719
0.0064,0.32,0.9993654389033798
0.0064,0.29,0.9993383361555137
0.0064,0.26999998,0.9994855575147401
0.0128,0.23000002,0.9988823087973635
0.0128,0.22,0.9989104074759773
0.0128,0.22,0.9991414646528858
0.0128,0.26,0.9993571640826312
0.0128,0.24000001,0.9986715889418354
0.0256,0.22999997,0.9996040477730205
0.0256,0.19999999,0.9996328753669965
0.0256,0.21999998,0.9982289742337503
0.0256,0.22999999,0.9987681497814245
0.0256,0.17999999,0.9985932002351057
0.0512,0.16999999,0.9976924833729338
0.0512,0.2,0.9991420845374819
0.0512,0.3,0.9981410095707656
0.0512,0.16,0.9975530168564181
0.0512,0.2,0.9978226596328096
0.1024,0.23999998,0.9994670841810139
0.1024,0.22999999,0.9987249487331965
0.1024,0.13,0.9981520723680246
0.1024,0.18,0.9991779440768471
0.1024,0.26,0.9989489049242589
