epsilon,accuracy
0.0005,74.33333333333333
0.001,56.333333333333336
0.005,13.333333333333334
0.01,7.666666666666667
0.02,4.666666666666667
0.05,7.333333333333333
0.1,9.0
0.3,5.666666666666667
0.5,4.666666666666667
0.7,3.0
1.0,2.3333333333333335
