epsilon,accuracy,ssim
0.001,71.0,0.999966401956606
0.001,72.0,0.9999664040516766
0.001,74.0,0.9999663998699694
0.001,73.0,0.9999664042596523
0.001,73.0,0.9999663958939999
0.0025,64.0,0.9997900717178976
0.0025,64.0,0.9997900704898166
0.0025,67.0,0.9997900738672337
0.0025,65.0,0.9997900620303952
0.0025,65.0,0.9997900629329163
0.005,57.0,0.9991609251610983
0.005,58.0,0.9991609370457301
0.005,57.0,0.9991608634328089
0.005,54.0,0.9991609311712685
0.005,58.0,0.999160884511326
0.0075,55.0,0.998114621548044
0.0075,54.0,0.9981146095400101
0.0075,58.0,0.9981145197943111
0.0075,52.0,0.9981145388850378
0.0075,54.0,0.9981144777557607
0.01,55.0,0.9966542576866573
0.01,53.0,0.9966540897182676
0.01,53.0,0.996654011305847
0.01,56.0,0.9966541647380076
0.01,55.0,0.9966540898185852
0.05,58.0,0.9240562134090492
0.05,58.0,0.9240487398055428
0.05,56.0,0.92404890424288
0.05,57.0,0.9240465836537043
0.05,54.0,0.9240510887798026
0.1,57.0,0.7616345008269785
0.1,55.0,0.7616208506765776
0.1,58.0,0.7616173140171988
0.1,57.0,0.7616227699340564
0.1,56.0,0.761608115761343
0.5,22.0,0.15102528421687164
0.5,25.0,0.15097222349767483
0.5,23.0,0.15102575742335547
0.5,22.0,0.15102938469513466
0.5,26.0,0.15097879469368733
1,12.0,0.04718743660279185
1,12.0,0.04717638910799536
1,11.0,0.04715261853872344
1,10.0,0.04715507622094181
1,10.0,0.04715994086258732
