epsilon,accuracy,ssim
0.001,64.0,0.9999630802788667
0.001,65.0,0.9999630672419396
0.001,62.0,0.9999630746461239
0.001,73.0,0.9999630780439656
0.001,76.0,0.9999630678275544
0.0025,54.0,0.999769180310321
0.0025,52.0,0.9997692569418095
0.0025,59.0,0.999769266441519
0.0025,60.0,0.9997692796691897
0.0025,60.0,0.9997692707678999
0.005,54.0,0.9990779197327724
0.005,55.0,0.9990778946422113
0.005,47.0,0.9990779002643917
0.005,43.0,0.999077950417092
0.005,46.0,0.9990777815515802
0.0075,45.0,0.9979280137225116
0.0075,48.0,0.9979278416467023
0.0075,49.0,0.9979278175195596
0.0075,47.0,0.9979280798241247
0.0075,47.0,0.9979276742282306
0.01,42.0,0.9963242395519514
0.01,41.0,0.9963235043880829
0.01,44.0,0.9963244872575142
0.01,43.0,0.9963235629324958
0.01,47.0,0.9963243844632595
0.05,43.0,0.9168914259618081
0.05,47.0,0.9168387912455364
0.05,37.0,0.9168643303982746
0.05,43.0,0.9168843340822231
0.05,39.0,0.9168743287920513
0.1,37.0,0.742456749337848
0.1,38.0,0.7424580446139675
0.1,37.0,0.7424127570322427
0.1,44.0,0.7425656784316936
0.1,40.0,0.742400982007754
0.5,7.0,0.1361228249553509
0.5,5.0,0.13632978489976091
0.5,7.0,0.13620666484729746
0.5,8.0,0.13617954397968016
0.5,7.0,0.13623077926587793
1,1.0,0.042231483282038546
1,1.0,0.04240259323527533
1,3.0,0.04222879329493212
1,3.0,0.04233739634301749
1,2.0,0.04225769674613887
