epsilon,accuracy,ssim
0.004,100.0,0.9998097607414224
0.005,100.0,0.9996387060471001
0.006,99.0,0.9995739160560764
0.007,99.0,0.9993040153572823
0.01,96.0,0.9987842968440889
0.02,88.0,0.9936817727861504
0.03,76.0,0.9906867452583633
0.5,1.0,0.20576417020255203
1,0.0,0.10900354914458885
