epsilon,accuracy,ssim
0.004,45.45454545454545,0.9999145669013711
0.004,54.54545454545455,0.9997636622716903
0.004,63.63636363636363,0.9999913838234205
0.004,54.54545454545455,0.9999213490305223
0.004,57.57575757575758,0.999980459669313
0.005,63.63636363636363,0.9999727445716444
0.005,60.60606060606061,0.9996340940563222
0.005,69.6969696969697,0.9999653895169568
0.005,51.515151515151516,0.9999308406784879
0.005,51.515151515151516,0.9999530933266645
0.006,69.6969696969697,0.9999257867257063
0.006,54.54545454545455,0.9999469949331371
0.006,60.60606060606061,0.9997881001873258
0.006,42.42424242424242,0.9997738558175576
0.006,60.60606060606061,0.999908154062329
0.007,60.60606060606061,0.9999116862044262
0.007,78.78787878787878,0.9994028008991918
0.007,57.57575757575758,0.9993547812821032
0.007,72.72727272727273,0.9999805162312461
0.007,63.63636363636363,0.999921109914634
0.01,48.484848484848484,0.9991062732908862
0.01,60.60606060606061,0.9994010501035705
0.01,60.60606060606061,0.9999992455766148
0.01,72.72727272727273,0.9991408035874986
0.01,39.39393939393939,0.9994102624284119
0.02,57.57575757575758,0.9997729219492942
0.02,54.54545454545455,0.9972715150189809
0.02,66.66666666666667,0.999618692797741
0.02,60.60606060606061,0.9958621701959295
0.02,60.60606060606061,0.9955729597662711
0.03,51.515151515151516,0.9973621775746058
0.03,54.54545454545455,0.9952966120661257
0.03,51.515151515151516,0.9941183065915529
0.03,54.54545454545455,0.9933954136190006
0.03,57.57575757575758,0.9920429293478462
0.5,36.36363636363637,0.8004495358019214
0.5,42.42424242424242,1.0
0.5,24.242424242424242,0.7822640911005484
0.5,30.303030303030305,0.7604577443735789
0.5,33.333333333333336,0.8003621407171627
1,30.303030303030305,0.7364686403266882
1,33.333333333333336,0.6688051425455539
1,24.242424242424242,0.7055516034258504
1,30.303030303030305,0.6704226487870337
1,21.21212121212121,0.7483131910720138
