epsilon,accuracy,ssim
0.001,78.0,0.9999654766183823
0.001,81.0,0.999965465069079
0.001,82.0,0.9999654708373559
0.001,84.0,0.9999654697150311
0.001,78.0,0.9999654663211827
0.0025,60.0,0.9997842791154554
0.0025,63.0,0.9997842168130321
0.0025,63.0,0.9997842758334121
0.0025,61.0,0.9997842961239772
0.0025,60.0,0.9997843310667086
0.005,50.0,0.9991378278784169
0.005,47.0,0.9991377409547404
0.005,48.0,0.9991373599433698
0.005,49.0,0.9991376369087629
0.005,50.0,0.999137400800385
0.0075,39.0,0.9980614482491668
0.0075,40.0,0.9980620805444751
0.0075,41.0,0.9980625417478439
0.0075,40.0,0.9980623008738709
0.0075,41.0,0.9980616840073809
0.01,34.0,0.9965604111260857
0.01,39.0,0.9965609099682473
0.01,35.0,0.9965617749827137
0.01,37.0,0.9965620353867204
0.01,37.0,0.9965609915271513
0.05,35.0,0.9217604256652203
0.05,33.0,0.9217458820925852
0.05,34.0,0.9217567273993161
0.05,36.0,0.9217453702749978
0.05,31.0,0.9217469943924131
0.1,27.0,0.7542463175969392
0.1,34.0,0.7542191871670767
0.1,33.0,0.7542827936610207
0.1,32.0,0.7541638543324056
0.1,32.0,0.7541970717140972
0.5,21.0,0.13908266164321886
0.5,24.0,0.13907264182197854
0.5,20.0,0.13906318109348262
0.5,23.0,0.13910415990977865
0.5,24.0,0.13901533226477952
1,23.0,0.041879688336841706
1,18.0,0.041851444678391546
1,20.0,0.04190415051087522
1,17.0,0.04186198371288709
1,18.0,0.0418715148022921
