epsilon,accuracy,ssim
0.004,93.93939393939394,0.9999368003224912
0.005,93.93939393939394,0.9998820378166916
0.006,90.9090909090909,0.9996289590821288
0.007,87.87878787878788,0.999185268363369
0.01,87.87878787878788,0.9982339893933168
0.02,78.78787878787878,0.9938487114098281
0.03,78.78787878787878,0.9829894910792519
0.5,0.0,0.16750379088676903
1,0.0,0.06198763369485569
