epsilon,accuracy,ssim
0.001,80.0,0.9999187188790177
0.0025,70.0,0.9994924234717993
0.005,62.0,0.9979761645664343
0.0075,59.0,0.9954696613042421
0.01,55.0,0.9920019426153456
0.05,66.0,0.8503135559606099
0.1,65.0,0.6404929170490778
0.5,48.0,0.16146902467458507
1,33.0,0.06517008850059698
