epsilon,accuracy
0.0005,90.66666666666667
0.001,81.0
0.005,57.333333333333336
0.01,54.333333333333336
0.02,52.0
0.05,60.333333333333336
0.1,60.0
0.3,52.0
0.5,41.333333333333336
0.7,35.0
1.0,27.333333333333332
