epsilon,accuracy
0.0005,82.0
0.001,84.33333333333333
0.005,84.0
0.01,85.33333333333333
0.02,83.33333333333333
0.05,84.66666666666667
0.1,85.0
0.3,82.33333333333333
0.5,84.0
0.7,83.33333333333333
1.0,80.66666666666667
