epsilon,accuracy
0.0005,92.0
0.001,87.33333333333333
0.005,57.666666666666664
0.01,48.666666666666664
0.02,43.666666666666664
0.05,45.333333333333336
0.1,46.0
0.3,46.333333333333336
0.5,43.333333333333336
0.7,38.666666666666664
1.0,28.666666666666668
