epsilon,accuracy
0.0005,96.33333333333333
0.001,88.33333333333333
0.005,51.666666666666664
0.01,43.0
0.02,35.666666666666664
0.05,36.0
0.1,45.0
0.3,46.333333333333336
0.5,43.666666666666664
0.7,39.666666666666664
1.0,30.333333333333332
