epsilon,accuracy
0.0005,67.33333333333333
0.001,70.0
0.005,72.0
0.01,67.66666666666667
0.02,66.0
0.05,69.66666666666667
0.1,66.66666666666667
0.3,73.33333333333333
0.5,70.33333333333333
0.7,69.66666666666667
1.0,68.66666666666667
