epsilon,accuracy
0.0005,86.66666666666667
0.001,80.33333333333333
0.005,61.666666666666664
0.01,56.333333333333336
0.02,60.333333333333336
0.05,67.33333333333333
0.1,64.0
0.3,54.666666666666664
0.5,48.0
0.7,48.666666666666664
1.0,40.333333333333336
