epsilon,accuracy,ssim
0.001,83.0,0.999924839821464
0.0025,70.0,0.9995306357517624
0.005,60.0,0.9981283331805259
0.0075,59.0,0.9958095670330552
0.01,60.0,0.992600284153373
0.05,68.0,0.860107184313174
0.1,69.0,0.6581382444156575
0.5,50.0,0.1675328829162961
1,33.0,0.06718809098588999
