epsilon,accuracy,ssim
0.0002,0.93999994,0.9999974889011595
0.0002,0.98,0.9999974883397119
0.0002,0.96000004,0.9999974771966837
0.0002,0.95,0.9999975177790568
0.0002,0.96999997,0.9999974695404183
0.0004,0.96000004,0.9999900951047589
0.0004,0.96999997,0.999989922580977
0.0004,0.96000004,0.9999898791009365
0.0004,0.96999997,0.9999900598815714
0.0004,0.98,0.9999899674392138
0.0008,0.92999995,0.9999598899476432
0.0008,0.95,0.9999598359578306
0.0008,0.93999994,0.9999599466499971
0.0008,0.93999994,0.999960033490552
0.0008,0.92999995,0.9999605093339341
0.0016,0.9,0.9998443461794301
0.0016,0.85,0.9998455575155495
0.0016,0.87,0.9998428240106927
0.0016,0.89,0.9998483791169844
0.0016,0.91,0.9998423881611058
0.0032,0.86,0.9993874790662117
0.0032,0.81000006,0.9994012497267976
0.0032,0.7900001,0.9993814151469987
0.0032,0.82,0.9993771687238608
0.0032,0.82,0.9994059583383063
0.0064,0.66999996,0.9976014272326864
0.0064,0.72999996,0.9976860129930806
0.0064,0.71000004,0.9974880944172171
0.0064,0.66999996,0.997709633765866
0.0064,0.72,0.9976373234827381
0.0128,0.65999997,0.9906975676713635
0.0128,0.67999995,0.9910088049339535
0.0128,0.63,0.990986961459123
0.0128,0.62,0.9909905690025568
0.0128,0.66999996,0.9909742304249205
0.0256,0.59000003,0.9697953576160583
0.0256,0.57,0.969533729923968
0.0256,0.62,0.9680263397338082
0.0256,0.59,0.9666820219198996
0.0256,0.58,0.9664106398267768
0.0512,0.55999994,0.8999644678388578
0.0512,0.53999996,0.9133962012781061
0.0512,0.59000003,0.9007656631261847
0.0512,0.57000005,0.8946593016323027
0.0512,0.54999995,0.8922085469156184
0.1024,0.57,0.7783244700527343
0.1024,0.53,0.7998398658934316
0.1024,0.53,0.781426917783215
0.1024,0.5,0.7901094111104425
0.1024,0.49999994,0.7688006857548435
