epsilon,accuracy,ssim
0.004,75.75757575757575,0.9999217693663577
0.004,66.66666666666667,0.9998780876006075
0.004,84.84848484848484,0.9998491119535735
0.004,72.72727272727273,0.9999483087294476
0.004,72.72727272727273,0.9999329766071643
0.005,75.75757575757575,0.999757306344533
0.005,48.484848484848484,0.9998067244463033
0.005,78.78787878787878,0.999870451566235
0.005,75.75757575757575,0.9998950307532177
0.005,75.75757575757575,0.9998716708413302
0.006,84.84848484848484,0.9996985303692203
0.006,72.72727272727273,0.9998296134542477
0.006,66.66666666666667,0.9998718661681787
0.006,78.78787878787878,0.9998381766255134
0.006,75.75757575757575,0.9998561221951159
0.007,81.81818181818181,0.999588200692317
0.007,72.72727272727273,0.9997870833731235
0.007,81.81818181818181,0.9993658823716892
0.007,72.72727272727273,0.9994290120378309
0.007,72.72727272727273,0.99945081942234
0.01,81.81818181818181,0.9991223476252167
0.01,72.72727272727273,0.9988885560694988
0.01,87.87878787878788,0.9993398491352599
0.01,84.84848484848484,0.9992600319420645
0.01,69.6969696969697,0.9994952444697506
0.02,78.78787878787878,0.9987334426095914
0.02,78.78787878787878,0.996245079785452
0.02,78.78787878787878,0.9971639619319831
0.02,78.78787878787878,0.9977912826049418
0.02,81.81818181818181,0.9964821908969297
0.03,75.75757575757575,0.996597646362793
0.03,69.6969696969697,0.9927446892551354
0.03,84.84848484848484,0.9910686947983349
0.03,78.78787878787878,0.9978653181270626
0.03,75.75757575757575,0.9893485551663018
0.5,15.151515151515152,0.41309138175968346
0.5,24.242424242424242,0.36406725415217833
0.5,21.21212121212121,0.3634437278547801
0.5,24.242424242424242,0.627420717626872
0.5,12.121212121212121,0.33641014154251825
1,12.121212121212121,0.0695454023397385
1,24.242424242424242,0.7253006480771603
1,9.090909090909092,0.07066728152012902
1,18.181818181818183,0.2838107479297038
1,24.242424242424242,0.2186223310829611
