epsilon,accuracy,ssim
0.0002,0.93999994,0.9999987644645761
0.0002,0.95,0.9999987668708906
0.0002,0.96999997,0.9999987575900334
0.0002,0.95,0.9999987668538809
0.0002,0.98,0.9999987603291054
0.0004,0.90999997,0.9999950327461347
0.0004,0.91999996,0.9999950430599605
0.0004,0.92999995,0.9999952695972114
0.0004,0.92999995,0.9999951705753254
0.0004,0.89,0.9999950723043061
0.0008,0.81000006,0.9999817759803413
0.0008,0.84,0.9999814343651499
0.0008,0.87,0.9999804987596306
0.0008,0.85999995,0.9999807374270508
0.0008,0.84000003,0.9999812979449242
0.0016,0.65,0.9999293966310148
0.0016,0.65999997,0.9999286458221235
0.0016,0.65,0.9999300650287933
0.0016,0.63,0.9999266713492873
0.0016,0.69,0.9999288414469361
0.0032,0.46999997,0.9997455244677994
0.0032,0.45,0.9997397732310226
0.0032,0.48000008,0.9997007166920469
0.0032,0.45999998,0.9996922461034726
0.0032,0.45999998,0.9997412961931534
0.0064,0.38999996,0.9990267009573073
0.0064,0.4,0.9990488923235059
0.0064,0.36999997,0.9989982976058421
0.0064,0.35,0.9990481294716524
0.0064,0.33999997,0.9990378999895946
0.0128,0.3,0.9967128037402994
0.0128,0.24000001,0.9973294415605798
0.0128,0.3,0.9968491201671335
0.0128,0.26,0.996027333042351
0.0128,0.27,0.9964469121872386
0.0256,0.27,0.9890332738971279
0.0256,0.25,0.9907134643855589
0.0256,0.23999998,0.9904031534952601
0.0256,0.21,0.9913059238065787
0.0256,0.24000001,0.9918723823606062
0.0512,0.21,0.9805370822127571
0.0512,0.17,0.9712822834634597
0.0512,0.23999998,0.9662983820721596
0.0512,0.16999999,0.9758478703397767
0.0512,0.23999998,0.9773349081674091
0.1024,0.21,0.9593195052302441
0.1024,0.2,0.9446154318734215
0.1024,0.21,0.9416656646915994
0.1024,0.15,0.9456215518749351
0.1024,0.14000002,0.9329234496298063
