epsilon,accuracy,ssim
0.001,80.0,0.9999705154340367
0.0025,57.0,0.9998157594430198
0.005,44.0,0.9992636204343489
0.0075,43.0,0.998345262414326
0.01,43.0,0.9970634893763549
0.05,48.0,0.9335077429288304
0.1,47.0,0.7910848962942324
0.5,28.0,0.1948980051876547
1,15.0,0.06691145903210262
