epsilon,accuracy
0.0005,98.0
0.001,98.66666666666667
0.005,99.0
0.01,98.0
0.02,98.66666666666667
0.05,98.33333333333333
0.1,98.66666666666667
0.3,99.0
0.5,98.66666666666667
0.7,98.66666666666667
1.0,99.33333333333333
