epsilon,accuracy,ssim
0.004,99.0,0.9998599471653403
0.004,99.0,0.9998893740843593
0.004,98.0,0.9998541413705764
0.004,97.0,0.9999270505528713
0.004,98.0,0.9998321353092534
0.005,98.0,0.999874739685264
0.005,98.0,0.9998927642492845
0.005,98.0,0.9997725990111512
0.005,97.0,0.9997716536521264
0.005,98.0,0.9998262413837198
0.006,97.0,0.9996790152991692
0.006,97.0,0.9996908141760146
0.006,97.0,0.9994614358424265
0.006,98.0,0.9996602048612109
0.006,99.0,0.9995982226827331
0.007,99.0,0.9996178204782588
0.007,96.0,0.999660008527979
0.007,97.0,0.9994537028595663
0.007,98.0,0.9995399966382484
0.007,98.0,0.9996849328892072
0.01,95.0,0.9987936284518055
0.01,98.0,0.9986283805679246
0.01,96.0,0.9989574135728019
0.01,96.0,0.9990952545921138
0.01,97.0,0.9987323266107081
0.02,95.0,0.9966104567322509
0.02,94.0,0.997463914754906
0.02,94.0,0.9949438095207107
0.02,95.0,0.9969145944109827
0.02,95.0,0.9950419358911591
0.03,96.0,0.9929246204608244
0.03,93.0,0.9927847248650901
0.03,98.0,0.9900545672538458
0.03,93.0,0.9885816330056499
0.03,95.0,0.9927137830548662
0.5,8.0,0.20678516070918254
0.5,5.0,0.2047171180277007
0.5,7.0,0.20420299950622395
0.5,8.0,0.22845882065097625
0.5,4.0,0.20086577247135726
1,0.0,0.08213571081140161
1,6.0,0.07436566836013023
1,4.0,0.07183778837943655
1,4.0,0.0771676409723607
1,3.0,0.07352091474546027
