epsilon,accuracy,ssim
0.0002,0.77000004,0.9999987309441026
0.0002,0.78,0.99999876461419
0.0002,0.73999995,0.9999987372997083
0.0002,0.75,0.9999987291099132
0.0002,0.77,0.999998739430269
0.0004,0.73999995,0.9999951572923488
0.0004,0.74000007,0.9999950443657838
0.0004,0.71000004,0.999995136593613
0.0004,0.74,0.9999950082907467
0.0004,0.70000005,0.9999950896315726
0.0008,0.65,0.9999813212344815
0.0008,0.68999994,0.9999810213869612
0.0008,0.70000005,0.999980719273714
0.0008,0.63,0.9999840343614391
0.0008,0.6,0.9999810654573308
0.0016,0.57000005,0.999936035433951
0.0016,0.52000004,0.999939357776215
0.0016,0.51000005,0.999929084859858
0.0016,0.39999998,0.9999322908859808
0.0016,0.50000006,0.9999358670326064
0.0032,0.35999998,0.999793968059999
0.0032,0.3,0.9997950765358448
0.0032,0.32,0.9997822357494993
0.0032,0.3,0.99979922424428
0.0032,0.29,0.9998067906540768
0.0064,0.22,0.9995735775221688
0.0064,0.22999999,0.9995668181087861
0.0064,0.25,0.9997332885673611
0.0064,0.19000001,0.9996094596657888
0.0064,0.22,0.9996019500653419
0.0128,0.17999999,0.9992624285934795
0.0128,0.16,0.99931063202266
0.0128,0.21,0.9992792165072203
0.0128,0.10000001,0.9992873621949319
0.0128,0.17999999,0.9993004207103251
0.0256,0.120000005,0.9991399111572564
0.0256,0.19000001,0.9994090441815914
0.0256,0.18000002,0.9992505609069152
0.0256,0.13000003,0.9989254783191441
0.0256,0.2,0.9993198856055864
0.0512,0.18,0.999550004272146
0.0512,0.26,0.9988172606155903
0.0512,0.23999998,0.999567324068247
0.0512,0.17,0.9991857741996293
0.0512,0.12000002,0.9992875212280513
0.1024,0.13,0.9991617790875782
0.1024,0.16,0.9990980460019975
0.1024,0.17999999,0.9992246038322794
0.1024,0.100000024,0.9987588016009168
0.1024,0.18000002,0.998678987015037
