epsilon,accuracy,ssim
0.001,92.0,0.9999242477031262
0.001,94.0,0.9999241840207104
0.001,95.0,0.9999242096829757
0.001,97.0,0.9999242320703339
0.001,95.0,0.9999243425808253
0.0025,90.0,0.9995272154814165
0.0025,87.0,0.9995267976777651
0.0025,87.0,0.9995268181302761
0.0025,89.0,0.9995269667047525
0.0025,87.0,0.9995271803126661
0.005,85.0,0.9981131334263198
0.005,88.0,0.9981133016467159
0.005,85.0,0.9981142943543991
0.005,84.0,0.9981143684046929
0.005,83.0,0.9981134220016485
0.0075,83.0,0.9957814117728665
0.0075,83.0,0.9957771105523614
0.0075,79.0,0.9957804227482974
0.0075,82.0,0.9957786730253213
0.0075,82.0,0.9957813206303088
0.01,78.0,0.9925459678397713
0.01,82.0,0.992542193078078
0.01,79.0,0.9925484957662005
0.01,86.0,0.9925470721157934
0.01,79.0,0.9925516820583041
0.05,78.0,0.8584270499107461
0.05,77.0,0.8585562578408641
0.05,77.0,0.8584946694010067
0.05,78.0,0.8585735085363921
0.05,77.0,0.8584430107607088
0.1,74.0,0.6530651811552269
0.1,74.0,0.6532022116677625
0.1,72.0,0.6532074584980818
0.1,74.0,0.6530875807761549
0.1,72.0,0.6533812153136582
0.5,48.0,0.16072513076538658
0.5,50.0,0.16071947739428244
0.5,50.0,0.1607600559890034
0.5,49.0,0.16077054960177173
0.5,49.0,0.160685830548212
1,38.0,0.06426948213706175
1,43.0,0.06426759664791148
1,42.0,0.06426844458769569
1,39.0,0.06426583094678154
1,39.0,0.06423696444134151
