epoch,loss,accuracy
0,4.612193374876764,0.0108
0,4.613184060260749,0.0093
0,4.6144805531592885,0.0097
0,4.615470464062539,0.0098
1,4.242987520375829,0.2344
1,4.242229358405824,0.2356
1,4.243454799530612,0.2291
1,4.242084323980246,0.2324
1,4.242420190458844,0.2338
2,4.0326115401687135,0.3661
2,4.032654494996283,0.3692
2,4.0321619510650635,0.3737
2,4.032666587525872,0.3686
2,4.033423110937616,0.3656
3,3.949700510425932,0.4249
3,3.9502786041065385,0.421
3,3.950075126757288,0.4227
3,3.9490845355258624,0.4174
3,3.9498689098722615,0.4199
4,3.9025537861380606,0.4588
4,3.9023679882098157,0.4609
4,3.903039151695883,0.4563
4,3.9023174738428397,0.4534
4,3.903192918012097,0.4521
5,3.873185362785485,0.483
5,3.8730073855940703,0.482
5,3.8730306473507246,0.483
5,3.8743656122001116,0.4742
5,3.8739275491921004,0.4809
6,3.8529743252286486,0.4939
6,3.8518145737374665,0.4958
6,3.8523994889228965,0.4818
6,3.852988877873512,0.4885
6,3.8525069185123324,0.4857
7,3.836618353606789,0.5041
7,3.836334473008563,0.5064
7,3.8359976331139825,0.505
7,3.8355137405881456,0.5109
7,3.836366750632122,0.5044
8,3.824595613844076,0.5086
8,3.824188742668006,0.5145
8,3.824286286238652,0.5138
8,3.823616535040983,0.511
8,3.824235996622948,0.5103
9,3.8126275190122567,0.5183
9,3.811707836807154,0.5291
9,3.8121710689204513,0.5198
9,3.81251873635942,0.5203
9,3.812116841601718,0.5262
10,3.8040865621749003,0.5232
10,3.804033113892671,0.5362
10,3.8046569566058506,0.5252
10,3.804489272415258,0.528
10,3.8041707603794754,0.5306
