epoch,loss,accuracy
0,2.3514989045015566,0.1018
0,2.3514957048331095,0.0996
0,2.348825820692026,0.0965
0,2.348276353945398,0.0997
1,2.0653689279677763,0.252
1,2.065002123261713,0.2454
1,2.0665356209323664,0.2448
1,2.066061952311522,0.2442
1,2.066100429577433,0.2412
2,1.9917655082265282,0.2873
2,1.9919440366659955,0.2973
2,1.9918782506019446,0.2941
2,1.9918246056623519,0.2872
2,1.9925972602929278,0.2928
3,1.9556274171088153,0.3125
3,1.9550165150575578,0.3106
3,1.9536981947103125,0.3082
3,1.955293532389744,0.3145
3,1.9542351877613433,0.3069
4,1.9360157760085575,0.3316
4,1.935248659674529,0.329
4,1.9358053055538493,0.3341
4,1.9340948732035934,0.3384
4,1.9354559623511733,0.3373
5,1.9175617413915647,0.3473
5,1.918643598343916,0.339
5,1.9176228289391584,0.3446
5,1.9174930464689899,0.3416
5,1.9175341896190765,0.34
6,1.9126526975327995,0.3436
6,1.9129040317170938,0.3447
6,1.911825198276787,0.3482
6,1.9107969984127458,0.345
6,1.912418930393875,0.3455
7,1.8924786626912986,0.3683
7,1.8926977389936994,0.3723
7,1.893048109522291,0.3657
7,1.8923937925107919,0.3716
7,1.891353445447934,0.3689
