epoch,loss,accuracy
1,1.714072557011987,0.8398
1,1.714378655336465,0.8379
1,1.712718990957661,0.8444
1,1.7143571543845402,0.838
1,1.7138624616489289,0.8338
2,1.6481675372761526,0.8761
2,1.647327451189612,0.8759
2,1.6477813948491575,0.8779
2,1.6470455083118123,0.8799
2,1.6474950678029638,0.8789
3,1.618779593971884,0.8904
3,1.618405660246588,0.8893
3,1.6183263951805746,0.8905
3,1.617244099355807,0.8897
3,1.6172396635553639,0.8892
4,1.60035151660822,0.8954
4,1.598957853712094,0.8951
4,1.6000683596179743,0.8968
4,1.5994220827795138,0.8981
4,1.6001203667586017,0.8947
5,1.5894644822284674,0.8991
5,1.5891007147017557,0.9022
5,1.5886301303365429,0.9013
5,1.5895864272573192,0.9009
5,1.5897226257688681,0.9003
6,1.5809547437983713,0.9034
6,1.579929771696686,0.9028
6,1.5810978367070483,0.9019
6,1.5806580766750749,0.9022
6,1.580879039825148,0.9012
7,1.5747191549106767,0.9078
7,1.5752243889365227,0.9067
7,1.574152790816726,0.9064
7,1.5740456087574077,0.9076
7,1.5742487353124437,0.9074
8,1.5685365853036286,0.9091
8,1.568986885107247,0.9088
8,1.5695046004216382,0.907
8,1.5695426152769927,0.9073
8,1.569424768921676,0.9078
9,1.5647183527612383,0.9083
9,1.5648833482888094,0.9082
9,1.5645923007066083,0.9134
9,1.5649817475847378,0.9101
9,1.565409746898967,0.9084
10,1.562318806435652,0.9107
10,1.5623961603565582,0.9103
10,1.5618516199148385,0.9099
10,1.561488966273654,0.9064
10,1.5619083749260871,0.9095
