epoch,loss,accuracy
0,2.3353861638694813,0.0738
0,2.3382145492893875,0.0707
0,2.3381335067141586,0.0719
0,2.336508167777092,0.0738
1,1.6283270211736107,0.8796
1,1.6293344307856954,0.8813
1,1.629545072081742,0.8788
1,1.6286240762965694,0.8776
1,1.6294010201836848,0.8784
2,1.590747786934968,0.8969
2,1.590599822390611,0.8952
2,1.5910596824755334,0.8957
2,1.590895737052723,0.8952
2,1.5904868142620014,0.895
3,1.5733124518850048,0.9037
3,1.5733223424595633,0.8995
3,1.573117124047249,0.8979
3,1.5731641980493145,0.9008
3,1.5729363207604474,0.8974
4,1.563550816220083,0.9049
4,1.5629496908491585,0.9039
4,1.5635651334835465,0.9044
4,1.5633638087351611,0.905
4,1.5634233283389145,0.9073
5,1.5558714616070888,0.9057
5,1.5555101845674455,0.9068
5,1.5562121412556642,0.9056
5,1.5558606826575698,0.9053
5,1.556013705624137,0.9041
6,1.5502287407589566,0.9097
6,1.5500188595170428,0.9096
6,1.5501391135962905,0.9101
6,1.5503258219190463,0.9082
6,1.5506699290245203,0.9113
7,1.5456211210056474,0.9105
7,1.5462363199063927,0.9089
7,1.5461554679141682,0.906
7,1.5465252520931754,0.9091
7,1.5469712535287166,0.9078
8,1.5430845371477164,0.9134
8,1.54309852639581,0.9132
8,1.5427342736796967,0.9137
8,1.5433130651522593,0.9129
8,1.5432868846662484,0.9137
9,1.5393815488572333,0.9158
9,1.5399141410353836,0.9134
9,1.5403628964333018,0.9152
9,1.5399613213387264,0.9153
9,1.5403092218812104,0.9153
10,1.5380243343912112,0.9156
10,1.53841425355073,0.9145
10,1.5381562345346826,0.9163
10,1.5378930128304062,0.9151
10,1.537475413577572,0.9142
