epoch,loss,accuracy
0,2.3326383669664907,0.1029
0,2.3350341061877598,0.0967
0,2.3331319359457416,0.0975
0,2.33286578943775,0.0961
1,2.034106769379537,0.2747
1,2.0328794269804744,0.2763
1,2.033270423579368,0.2778
1,2.0318375848660803,0.2762
1,2.0322433717691215,0.278
2,1.9666825791073452,0.3145
2,1.9647633573811525,0.3296
2,1.9658371870684777,0.3235
2,1.9657301712947286,0.3198
2,1.9669185071993784,0.3199
3,1.9382915405710792,0.3379
3,1.9394218845731894,0.3457
3,1.9383574876056355,0.3365
3,1.9384239608315146,0.3442
3,1.9395490034370666,0.3422
4,1.9323649497548485,0.3625
4,1.9321046756331328,0.3594
4,1.931451130065189,0.3596
4,1.9317610332161,0.3613
4,1.9318226256947608,0.3615
5,1.9026021927025667,0.3933
5,1.9030210220130386,0.3941
5,1.9040968752211067,0.3948
5,1.9041008577225313,0.391
5,1.9033982799311353,0.3942
6,1.8865999218764578,0.4169
6,1.8849752936393591,0.4209
6,1.885446895459655,0.4178
6,1.8863516567618983,0.4148
6,1.88641652483849,0.4145
7,1.8780695048107463,0.408
7,1.8798987508579423,0.4082
7,1.8799313610526407,0.4065
7,1.87928208651816,0.4079
7,1.8778663577547499,0.4083
8,1.8637419855518707,0.4526
8,1.8641217658474187,0.4534
8,1.8650262074865354,0.4525
8,1.8649221377767575,0.4536
8,1.8636962015917347,0.4482
9,1.843754651440177,0.4623
9,1.8447852195448178,0.4572
9,1.8437303760249144,0.4594
9,1.84482345535497,0.4539
9,1.8448496684906588,0.4539
10,1.8443410123229786,0.4721
10,1.8441020508480679,0.4767
10,1.8457062783514617,0.4703
10,1.8446882803728626,0.4721
10,1.8444949259423906,0.4755
