epoch,loss,accuracy
0,4.63886266149533,0.0089
0,4.63846497323103,0.0096
0,4.6411178491677445,0.0094
0,4.64149808883667,0.0086
1,4.57303631533483,0.0222
1,4.572072266013759,0.0202
1,4.5712141717315475,0.0222
1,4.573769223158527,0.0224
1,4.572268270383216,0.0211
2,4.418349706443252,0.0381
2,4.415801895651848,0.0377
2,4.415624846318725,0.0352
2,4.4168935763608115,0.0381
2,4.4175596449785175,0.0379
3,4.354599184291378,0.0434
3,4.356763475260157,0.0444
3,4.3558961813616905,0.0442
3,4.3556519040636195,0.0441
3,4.355266276438525,0.042
4,4.320533345459373,0.0539
4,4.321522284465231,0.0528
4,4.322434379796314,0.0526
4,4.318859486063575,0.0546
4,4.321548777780715,0.0533
5,4.296385570696205,0.0581
5,4.293449474747773,0.0584
5,4.295465238534721,0.0607
5,4.2953384940031984,0.0598
5,4.295539029844248,0.0602
6,4.2729748434321895,0.064
6,4.272931068566195,0.0635
6,4.272450902659422,0.0616
6,4.2717915310221874,0.0612
6,4.273001169702809,0.0608
7,4.259761582514283,0.0678
7,4.260215488968382,0.0652
7,4.2608386483162075,0.0642
7,4.258386122952601,0.0654
7,4.258439139955363,0.0657
8,4.243892195877756,0.0656
8,4.242176068056921,0.0687
8,4.241273360647214,0.0724
8,4.241940136927708,0.072
8,4.24299650738953,0.0716
9,4.227085602511266,0.0734
9,4.226766820166521,0.0738
9,4.2273300681144566,0.0743
9,4.228688674367917,0.0744
9,4.226628145594506,0.0715
10,4.216497503268491,0.0773
10,4.215690764651936,0.0789
10,4.217865968206127,0.0767
10,4.216952369471264,0.0737
10,4.214214908089607,0.0799
