epoch,loss,accuracy
1,4.626673847247082,0.0136
2,4.525057971857156,0.0317
3,4.433114382871397,0.0637
4,4.355323533343661,0.1105
5,4.291940479521539,0.1469
6,4.236347253155556,0.1933
7,4.196524562349745,0.2363
8,4.160273591424249,0.2579
9,4.134245939315504,0.278
10,4.109700676741873,0.2989
11,4.108640594846883,0.3091
12,4.090002348468562,0.3219
13,4.0719065544711555,0.3351
14,4.058436755162136,0.3459
15,4.045745535261312,0.3506
16,4.030296427429102,0.3648
17,4.021723557429708,0.3745
18,4.010356105816592,0.3784
19,4.003875629157777,0.3807
20,3.9950618956499038,0.3924
