epoch,loss,accuracy
0,4.636676891594176,0.0112
0,4.635701613821042,0.01
0,4.638488851535093,0.0097
0,4.641936283961982,0.0109
1,4.594795594549483,0.0142
1,4.5909664615704,0.0171
1,4.593728323650968,0.0156
1,4.5917612306631295,0.0172
1,4.593338453086319,0.0185
2,4.435146638542224,0.0263
2,4.434861863494679,0.0296
2,4.434191494231012,0.0282
2,4.434974208758895,0.0288
2,4.435563011533895,0.0236
3,4.366529616580647,0.0306
3,4.366754419484716,0.0306
3,4.366426243144236,0.0324
3,4.365751129806421,0.0316
3,4.365564507283982,0.0312
4,4.322759594886926,0.041
4,4.324444433686081,0.0424
4,4.321872577545749,0.0419
4,4.323124168784755,0.0382
4,4.322735443236722,0.0401
5,4.288905693467256,0.0414
5,4.290741768612224,0.0422
5,4.290318531595218,0.0449
5,4.2900587798683505,0.0411
5,4.291127517724493,0.0443
6,4.295509201705835,0.0437
6,4.296123941992499,0.04
6,4.295722442068112,0.0401
6,4.29594888808621,0.0412
6,4.295922376547649,0.0422
7,4.249748539772763,0.0517
7,4.250842917496991,0.0495
7,4.25021894114792,0.0464
7,4.2476110397630436,0.05
7,4.248981369528801,0.0472
8,4.242541978313665,0.0517
8,4.242913476980416,0.055
8,4.242219189929354,0.0531
8,4.242507184387013,0.0561
8,4.241594302426478,0.055
9,4.222687873111409,0.0548
9,4.22213419531561,0.0562
9,4.222588694019682,0.0563
9,4.222188664090102,0.055
9,4.222176655082945,0.054
10,4.217497300190531,0.0565
10,4.216609614669897,0.055
10,4.218057878457817,0.0513
10,4.21749313621764,0.0504
10,4.2164499440770244,0.0545
